Ontology ID	Curation notes	parent class	label	Equivalence axiom	Subclass axiom	definition	definition source	taxa	derives from	derives from (new term)	cross reference	Exact Synonym	Related synonym	Broad Synonym	Narrow Synonym	see also	curation status	comment	image	created	term contributor	term requested
FOODON:03000294		chocolate cow milk food product	chocolate whole milk (vitamin A and D fortified)			Chocolate whole milk that is Vitamin A and D fortified.	https://nunuchocolates.com/whole-chocolate-milk-the-good-the-bad-and-the-delicious/													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000468		chocolate milk (low fat)	chocolate milk (low fat, Vitamin A and D fortified)			Low fat chocolate milk that is Vitamin A and Vitamin D fortified.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000295		butter oil	ucuhuba butter oil			Butter oil that is made from the seeds of ucuuba tree (Virola surinamensis).														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000286		mustard (prepared)	yellow mustard (prepared)			A food product that is made from yellow mustard.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000491		flour food product	arrowroot flour food product			A food product that is derived from arrowroot flour.	https://en.wikipedia.org/wiki/Arrowroot													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000469		arrowroot flour food product	arrowroot flour			A white, powdery starch extracted from the rhizome of an arrowroot plant (Maranta arundinacea), which is naturally gluten-free and grain-free.	https://en.wikipedia.org/wiki/Arrowroot													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000470		shortening	shortening (partially hydrogenated)			Shortening made from partially hydrogenated oil.	https://bakerpedia.com/ingredients/partially-hydrogenated-oil-pho/													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000471		goat dairy food product	goat milk (vitamin d fortified)			Goat milk that is vitamin D fortified.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000472		ricotta cheese	ricotta cheese (made from whole milk)			Ricotta chesse that is made from whole milk.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000473		hard grating cheese food product	romano cheese			Hard grating cheese that is made from cow, goat, and/or sheep's milk and contain less than 34% water and at least 38% milkfat. 	https://en.wikipedia.org/wiki/Romano_cheese													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000474		cow buttermilk food product	cow buttermilk (low fat, cultured)			Cow buttermilk that has low fat and is cultured.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000475		cottage cheese	cottage cheese (reduced fat)			Cottage cheese that has 2% milk fat.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000476		butter (whipped)	butter (whipped, salted)			Whipped butter that contains salt.						sour cream (reduced fat)								2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000477		sour cream	light sour cream			Sour cream that is made from half-and-half and has around 40 percent less fat.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000478		mozzarella cheese	mozzarella cheese (made with whole milk, low moisture)			Mozzeralla cheese that is made from whole cow’s milk and has low moisture. 														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000479		cheese food product	american cheese food product			A cheese food product that is derived from american cheese.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000480		american cheese food product	american cheese			Cheese that is made from cheddar, Colby, or similar cheeses. It is mild with a creamy and salty flavor, has a medium-firm consistency, and has a low melting point. It is typically yellow or white in color	https://en.wikipedia.org/wiki/American_cheese													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000481		american cheese	american cheese (fat free)			American cheese that is made from fat free milk.	https://en.wikipedia.org/wiki/American_cheese													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000482		american cheese	pasteurized process american cheese			American cheese that is made from combining more than one cheese.	https://en.wikipedia.org/wiki/American_cheese													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000483		pasteurized process american cheese	pasteurized process american cheese (vitamin D fortified)			A pasteurized process american cheese that is vitamin D fortified.	https://en.wikipedia.org/wiki/American_cheese													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000490		pasteurized process american cheese food	pasteurized process american cheese food (vitamin D fortified)			A pasteurized process american cheese food that is vitamin D fortified.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000485		pasteurized process cheese spread	pasteurized process american cheese spread			A pasteurized process cheese spread that is derived from american cheese.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000486		ricotta cheese	ricotta cheese (part-skim)			Ricotta cheese that is partly skimmed and have less fat and calories.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000487		nonfat dry milk (instant)	nonfat dry milk (instant, vitamin A and D fortified)			Not fat instant dry milk that is vitamin A and vitamin D fortified.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000488		full cream milk (dry)	full cream milk (dry, vitamin D fortified)			Full cream milk powder that is vitamin D fortified.														2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000489		cheese food product	gjetost cheese			A brown norwegian cheese made of goat's milk or a blend of goat and cow's milk. It is produced by slowly heating a vat of whey, cream and milk.	https://en.wikipedia.org/wiki/Brunost													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000287		cheese food product	cheese			A dairy product that is formed by coagulation of the milk protein casein.	https://en.wikipedia.org/wiki/Cheese													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	GRDI
FOODON:03000484		pasteurized process cheese food	pasteurized process american cheese food			American cheese that contains at least 51% cheese but other specific dairy ingredients such as cream, milk, skim milk, buttermilk, cheese whey, or albumin from cheese whey are added.	https://en.wikipedia.org/wiki/American_cheese|https://www.ams.usda.gov/sites/default/files/media/FINALDPPC5PasteurizedProcessAmericanCheeseSpec092019.pdf 													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
FOODON:03000288		bread food product	bread			A food prepared from a dough of flour and water, usually by baking.	https://en.wikipedia.org/wiki/Bread													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	GRDI
FOODON:03000296		tallow (edible)	mutton tallow			Rendered fat from a sheep.	https://en.wikipedia.org/wiki/Tallow													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	
			PTFI Requests																			
FOODON:00004695		white bean food product|flatbread	white bean flatbread			A flatbread made with dried white beans.															https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004696		animal-based stew or hash	elk stew meat			Chopped elk meat suitable for cooking into a stew.															https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004697		tofu food product	tofu			A food product that is prepared by coagulating soy milk and then pressing the resulting curds into solid white blocks of varying softness: silken, soft, firm, extra firm.	https://en.wikipedia.org/wiki/Tofu					bean curd									https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00005438		tofu	tofu (raw)	'tofu' and 'has quality' some 'raw'		A raw tofu																USDA
FOODON:00004698		tofu	extra firm tofu			A tofu that has less water than firm tofu.	https://en.wikipedia.org/wiki/Tofu														https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004699		extra firm tofu	extra firm tofu (raw)			An extra firm tofu that is raw.	https://en.wikipedia.org/wiki/Tofu														https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004700		extra firm tofu	extra firm tofu (sauteed)			An extra firm tofu which has been sauteed.	https://en.wikipedia.org/wiki/Tofu														https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004701		wheat food product	farro food product			A food product that has farro as a defining ingredient.															https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004702		farro food product|whole grain|caryopsis fruit	farro kernel			 A caryopsis fruit of any of three hulled wheat species: spelt (Triticum spelta), emmer (Triticum dicoccum), and einkorn (Triticum monococcum).	https://en.wikipedia.org/wiki/Farro|https://www.wheatfoods.org/resources/wheat-facts/ancient-wheat-and-pseudo-grains/														https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00005281		farro kernel	farro kernel (raw)			A farro kernel which is raw (not dried).															https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004703		farro kernel	farro kernel (cooked) 			A farro kernel which is cooked.															https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004704		duck egg white	duck egg white (boiled)			A duck egg white that has been boiled.															https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004705		duck egg yolk	duck egg yolk (boiled)			A duck egg yolk that has been boiled.															https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004706		Monterey Jack cheese product	Monterey Jack cheese flavoured with chili flakes			A variant of monterey jack cheese that is flavoured with chili flakes.															https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004711		cricket food product	cricket powder			A powder that is made from a cricket.															https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004708		cricket powder	house cricket powder			A powder that is made from a house cricket.															https://orcid.org/0000-0001-5275-8866	PTFI
FOODON:00004712		cricket powder	jamaican cricket powder			A powder that is made from a jamaican cricket.															https://orcid.org/0000-0001-5275-8866	PTFI
			USDA Mappings																			
FOODON:00005456	FOODON:00005185	seal food product|oil	bearded seal oil			Oil that is derived from blubber of a bearded seal. 															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005457	FOODON:00005186	seal food product|oil	spotted seal oil			Oil that is derived from the blubber of a spotted seal. 															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005458	FOODON:00005187	oil	walrus oil			Oil that is derived from the blubber of a walrus.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005459	FOODON:00005188	whale food product|oil	bowhead whale oil			Oil that is derived from the blubber of a bowhead whale.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005460	FOODON:00005189	fish oil	herring oil			Oil that is derived from herring.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005454		whale food product|oil	beluga oil			Oil that is derived from beluga whale.																
FOODON:00005461	FOODON:00005190	oil|cocoa food product	cocoa butter oil			Oil that is derived from the fat extracted from cocoa beans.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005462	FOODON:00005191	tangerine juice	"tangerine juice (unpasteurized)
"			Juice extracted from tangerines that has not undergone pasteurization.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005463	FOODON:00005192	apple juice	apple juice (unpasteurized)			Apple juice that has not undergone pasteurization.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005464	FOODON:00005193	lemon juice	lemon juice (unpasteurized)			Lemon juice that has not undergone pasteurization.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005465	FOODON:00005194	lime juice	lime juice (unpasteurized)			Lime juice that has not undergone pasteurization.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00001277	FOODON:00005195	orange juice (liquid)	orange juice (unpasteurized)			Orange juice that has not undergone pasteurization.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005439		acerola juice	acerola juice (unpasteurized)			Acerola juice that has not undergone pasteurization.																
FOODON:00005455		tropical fruit food product	passion fruit food product			A food product which derives from passion fruit																
FOODON:00005467	FOODON:00005454	fruit juice (liquid)|passion fruit food product	purple passion fruit juice			Fruit juice which derives from purple passion fruit.																
FOODON:00005440		purple passion fruit juice	purple passion fruit juice (unpasteurized)			Purple passion fruit juice that is raw.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005468	FOODON:00005199	pink grapefruit juice	pink grapefruit juice (unpasteurized)			Pink grapefruit juice that is raw.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005596		fruit juice (liquid)|passion fruit food product	yellow passion fruit juice																			
FOODON:00005469		yellow passion fruit juice	yellow passion fruit juice (unpasterized)																			
FOODON:00005441		fruit juice (liquid)|pomegranate food product	pomegranate juice			 A fruit juice made from pomegranate.																
FOODON:03301127		fruit juice (liquid)|grape berry food product	grape juice			 A fruit juice made from grapes.																
FOODON:00005470	FOODON:00005196	coconut milk	coconut milk (unpasteurized)			Coconut milk that has not undergone pasteurization.																USDA
FOODON:00005471	FOODON:00005197	coconut cream	coconut cream (unpasteurized)			Coconut cream that has not undergone pasteurization.																USDA
FOODON:00005472	FOODON:00005200	soursop food product	guanabana nectar			Nectar derived from the pulp of the guanabana fruit. 															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005473	FOODON:00005201	tamarind food product	tamarind nectar			Nectar derived from the pulp of the tamarind fruit. 															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005474	FOODON:00005202	skim milk (liquid)	skim milk (without added vitamin a and d)			Skim milk without the addition of vitamins A and D.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005475	FOODON:00005203	nonfat dry milk	nonfat dry milk (instant, without added vitamin A and D)			Instant nonfat dry milk without the addition of vitamins A and D.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005476	FOODON:00005204	cow milk (reduced fat)	cow milk (reduced fat, without added Vitamin A and Vitamin D)			Reduced-fat cow milk, which has not been fortified with vitamins A and D															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005477	FOODON:00005205	lowfat cow milk (1% fat)	lowfat cow milk (1% fat,  without added Vitamin A and Vitamin D)			Low-fat cow milk containing 1% fat, without the addition of vitamins A and D															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005478	FOODON:00005206	cow milk (liquid)	cow whole milk																			
FOODON:00005479	FOODON:00005207	cow whole milk	cow whole milk (without additives)			Cow whole milk without the addition of vitamins A and D.																USDA
FOODON:00005480		cow whole milk	cow whole milk (without Vitamin D)			Cow whole milk without the addition of vitamins D.																
FOODON:00005481	FOODON:00005208	cow whole milk 3.5% fat	cow whole milk 3.5% fat (without added Vitamin A and Vitamin D)			Whole cow milk with 3.5% fat content and without the addition of vitamins A and D.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005482	FOODON:00005209	evaporated milk	evaporated milk (reduced fat, Vitamin A and Vitamin D fortified)			Evaporated milk with 2% fat content, fortified with vitamins A and D.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005483	FOODON:00005210	cow milk (reduced fat)	cow milk (reduced fat, Without added Vitamin A, nonfat milk solids added)			Evaporated milk that is fortified with vitamins A.																USDA
FOODON:00005484	FOODON:00005211	skim milk (liquid)	skim milk (calcium-fortified)			Skim milk with added calcium.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005485	FOODON:00005212	evaporated milk (canned, fortified)	evaporated milk (with added vitamin A)			Evaporated milk that is fortified with vitamin A.																USDA
FOODON:00005486	FOODON:00005213	tofu food product	tofu (fermented)			Tofu that has undergone a fermentation process.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005487	FOODON:00005214	tallow (edible)	beef tallow			 A fat rendered from beef, typically from the fat surrounding organs and muscles.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005488	FOODON:00005215	pea	pea (mashed)			Cooked green peas that are smashed to create a creamy texture.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005489	FOODON:00005216	prune food product|fruit puree	prune puree			A semiliquid, smooth mixture made from cooked prunes (dried plums).															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005490	FOODON:00005217	carrot food product	carrot puree			A semiliquid, smooth mixture made from cooked carrots.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005491	FOODON:00005218	fruit puree|banana food product	banana puree			A semiliquid, smooth mixture made from ripe bananas.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005492	FOODON:00005229	squash food product	squash puree			Puree made from cooked squash, that is blended to a smooth consistency.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005493	FOODON:00005230	sweet potato food product	sweet potato puree			Puree made from cooked sweet potato, that is blended to a smooth consistency.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005494	FOODON:00005231	beet food product	beet puree			Puree made from cooked beet root, that is blended to a smooth consistency.																USDA
FOODON:00005443		green bean food product	green bean puree			Puree made from cooked green beans, that is blended to a smooth consistency.																
FOODON:00005495	FOODON:00005219	butter	clarified butter			Butter from which all milk solids have been removed.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005496	FOODON:00005220	apple juice	apple juice (calcium-fortified)			Apple juice with added calcium.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005497	FOODON:00005221	orange juice (liquid)	orange juice (without pulp)			Orange juice that has been strained to remove the pulp.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005498	FOODON:00005222	pasta food product	corn pasta			Pasta that is made from corn flour.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:03310185	FOODON:00005223	clarified butter	ghee			A type of clarified butter originating from the Indian subcontinent.					https://bioregistry.io/reference/siren:F10185										https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005500	FOODON:00005224	flour | sesame food product	sesame flour			A flour that is made by grinding defatted sesame seeds.															https://orcid.org/0000-0001-5275-8866	USDA
	FOODON:00005225	sunflower food product	sunflower seed butter			A seed butter that is made from ground sunflower seeds.						sunflower seed butter									https://orcid.org/0000-0001-5275-8866	USDA
	FOODON:00005226  AND THIS HAS AN EXISTING PLANT_PARTS ID FOODON_00005219	coconut meat	coconut meat (dried)			Coconut meat that has been dried.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005503	FOODON:00005227	vinegar food product	balsamic vinegar			A traditional Italian vinegar made wholly or partially from grape must, which is freshly crushed grape juice containing all the skins, seeds, and stems															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005504	FOODON:00005228	popcorn (popped)	popcorn (air-popped)			Popcorn that is popped using hot air.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005505	FOODON:00005232	rice cereal	brown rice cereal			Cereal made from whole brown rice kernels, often processed for easier consumption.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005506	FOODON:00005233	brown rice cereal	brown rice cereal (dry, instant)			Brown rice cereal that is dried and is meant to be prepared instantly.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005507	FOODON:00005234	cow food product	corned beef			Beef that has been cured with salt and spices, typically from the brisket cut.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005508	FOODON:00005235	bologna	beef bologna			Bologna that is made from beef.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005509	FOODON:00005236	bologna	chicken bologna			Bologna that is made from chicken meat.																USDA
FOODON:00005510	FOODON:00005237	bologna	pork bologna			Bologna that is made from pork.																USDA
FOODON:00005511	FOODON:00005238	bologna	turkey bologna			Bologna that is made from turkey meat.																USDA
FOODON:00005512	FOODON:00005239	macaroni or noodle food product	beef macaroni			Macaroni that is made from beef.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005513	FOODON:00005240	fruit sauce	guava sauce			A fruit sauce made from guava.															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005514	FOODON:00005241	sugar (refined)	sugar (powdered)																		https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005515	FOODON:00005242	tea (steeped)	green tea (steeped)			Steeped tea made from green tea leaves (Camellia sinensis).															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005243		tea (steeped)	black tea (steeped)			Steeped tea made from fully oxidized black tea leaves (Camellia sinensis)															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005516	FOODON:00005244	tea (steeped)	hibiscus tea (steeped)			Steeped tea made from dried hibiscus flowers (Hibiscus sabdariffa).															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005517	FOODON:00005245	tea (steeped)	oolong tea (steeped)			Steeped tea made from partially oxidized tea leaves (Camellia sinensis). 															https://orcid.org/0000-0001-5275-8866	USDA
FOODON:00005518	FOODON:00005246	tea (decaffeinated) 	black tea (decaffeinated)			Black tea that has most of its caffeine removed through a decaffeination process, while preserving its flavor, aroma, and other characteristic properties.																USDA
FOODON:00005444		tea (decaffeinated) 	green tea (decaffeinated)			Green tea that has most of its caffeine removed through a decaffeination process, while preserving its flavor, aroma, and other characteristic properties.																
FOODON:00005519	FOODON:00005247	tea (dry, instant)	lemon tea (dry, instant)			"A beverage mix that quickly dissolves in hot or cold water to create a lemon-flavoured tea.
OR 
A beverage prepared by dissolving an instant mix in hot or cold water to create a lemon-flavored drink."																USDA
FOODON:00005520	FOODON:00005248	soybean flour	soybean flour (full fat)			A soybean flour that is made from whole soybeans, retaining all of the natural oils, which gives it a higher fat content.																USDA
FOODON:00005521	FOODON:00005249	soybean flour	soybean flour (low fat)			A soybean flour made from whole soybeans that has been processed to reduce its natural oil content.																USDA
	FOODON:00005250	flour| sesame food product	sesame flour DUPLICATE			A flour that is made by grinding defatted sesame seeds after oil extraction.																USDA
FOODON:00005523	FOODON:00005251	flour	acorn flour			A flour that is made by grinding acorns, the nuts of oak trees, after they have been properly processed to remove tannin.																USDA
FOODON:00005524	FOODON:00005252	animal protein supplement	whey protein isolate			A refined form of whey protein, processed to remove most of the fat and lactose, resulting in a higher protein content. 																USDA
FOODON:00005525	FOODON:00005253	bratwurst	chicken bratwurst			Bratwurst that is made from chicken meat.																USDA
FOODON:00005526	FOODON:00005254	bratwurst	pork bratwurst			Bratwurst that is made from pork.																USDA
FOODON:00005527	FOODON:00005255	bratwurst	veal bratwurst			Bratwurst that is made from veal.																USDA
FOODON:00005528	FOODON:00005256	wheat pasta food product	whole wheat pasta			Pasta made from whole wheat flour that retains the bran, germ, and endosperm of the wheat grain.																USDA
FOODON:00005529	FOODON:00005257	white corn flour	whole grain white corn flour			Flour made from the whole kernels of white corn (Zea mays), which includes the bran, germ, and endosperm.																USDA
FOODON:00005530	FOODON:00005258	white cornmeal	whole grain white cornmeal			Cornmeal made from whole white corn kernels (Zea mays), which includes the bran, germ, and endosperm																USDA
FOODON:00005531	FOODON:00005259	"bacon (whole cut or pieces)|turkey meat food product
"	turkey bacon			A bacon made from turkey meat.																USDA
FOODON:00005532	FOODON:00005260	milled durum wheat 	couscous			A dish made from durum wheat semolina, which is moistened and rolled into small granules, then steamed or boiled. 																USDA
FOODON:00005533	FOODON:00005261	turkey sausage	turkey sausage (raw)			A turkey sausage that is raw.																USDA
FOODON:00005534	FOODON:00005262	salami	beef salami			Salami made from beef.																USDA
FOODON:00005535	FOODON:00005263	salami	turkey salami			Salami made from turkey meat.																USDA
FOODON:00005536	FOODON:00005264	salami	pork salami			Salami made from pork meat.																USDA
FOODON:00005537	FOODON:00005265	patty	chicken patty			A patty made from chicken meat.																USDA
FOODON:00005538	FOODON:00005266	salmon food product	salmon nugget			A nugget made from salmon meat that is often breaded or battered and typically fried or baked.																USDA
FOODON:00005539	FOODON:00005267	tofu	soft tofu			A tofu that has a smooth, delicate texture and high moisture content																USDA
FOODON:00005540	FOODON:00005268	tofu	firm tofu			A tofu that has a denser texture with lower moisture content, allowing it to hold its shape well during cooking.																USDA
FOODON:00005541	FOODON:00005269	tofu	silken tofu			A tofu that has a creamy, smooth texture and high moisture content.																USDA
FOODON:00005542	FOODON:00005270	silken tofu	silken soft tofu			A tofu that has an ultra-creamy texture and high moisture content.																USDA
FOODON:00005543	FOODON:00005271	silken tofu	silken firm tofu			A tofu that has a creamy texture while being slightly firmer, making it versatile for both savory and sweet dishes that require shape retention.																USDA
